корпус,этаж, Категория,Локация,Название,Есть в макетах?,Описание, Дополнительный комментарий ,Контакты,Ссылка,Время работы (где нужно),Фото,ДОП коммент 
Бета,4,Здоровье,416,Кабинет врача,Да,"Прием проводит врач общей практики Дрюкова Анна Викторовна 
",,ndemidova@croc.ru,https://jive.croc.ru/community/knowledge/everyday/social/%D0%B7%D0%B0%D0%BF%D0%B8%D1%81%D1%8C-%D0%BD%D0%B0-%D0%BF%D1%80%D0%B8%D0%B5%D0%BC-%D0%BA-%D0%B2%D1%80%D0%B0%D1%87%D1%83,"График: по средам - с 14.30 до 20.00, по пятницам - с 9.00 до 13.00","https://andreymashkin.ru/disk/share/4KvpGYu59bbgz
https://andreymashkin.ru/disk/share/OZqQBnu56BBgn",
Бета,4,Переговорные ,417,Переговорная ,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot.","ЖК-панель, флипчарт 
Вместимость 6 чел","Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,,
Бета,5,Переговорные ,512,Переговорная ,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot.","ЖК-панель
Вместимость 10 чел","Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,,
Бета,5,Переговорные ,511,Переговорная ,Нет инфы тут ,,,,,,,
Бета,5,Переговорные ,513,Переговорная ,Нет инфы тут ,,,,,,,
Бета,5,Переговорные ,517,Переговорная ,Нет инфы тут ,,,,,,,
Бета,6,Переговорные ,611,Переговорная ,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot.","
Вместимость 6 чел","Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,,
Бета,6,Переговорные ,612,Переговорная ,Нет,"Бронируй через календарь в Outlook
или в @CrocLiveBot.","
Вместимость 10 чел","Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,,
Бета,6,Переговорные ,615,Переговорная ,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot.","
Вместимость 4 чел","Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,,
Бета,6,Переговорные ,617,Переговорная ,Нет,"Бронируй через календарь в Outlook
или в @CrocLiveBot.","
Вместимость 10 чел","Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,,
Бета,7,Переговорные ,701,Переговорная ,Нет инфы тут ,,,,,,,
Бета,7,Переговорные ,715,Переговорная ,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot.","
Вместимость 3 чел","Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,,
Бета,7,Переговорные ,717,Переговорная ,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot.","
Вместимость 3 чел","Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,,
Бета,8,Переговорные ,803,Переговорная ,Нет инфы тут ,"Бронируй через календарь в Outlook
или в @CrocLiveBot.","
Вместимость 4 чел","Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,,
Бета,8,Переговорные ,808,Переговорная ,Нет инфы тут ,"Бронируй через календарь в Outlook
или в @CrocLiveBot.","
Вместимость 8 чел","Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,,
Бета,8,Переговорные ,810,Лекторий,Нет инфы тут ,"Бронируй через календарь в Outlook
или в @CrocLiveBot.","
Вместимость 10 чел плюс зона свободной рассадки 5-10 человек ","Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,,
Бета,9,Переговорные ,915,Переговорная ,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot.","
Вместимость 4 чел","Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,,
Бета,9,Переговорные ,917,Переговорная ,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot.","ЖК-панель, флипчарт 
Вместимость 7 чел","Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,,
Бета,9,Переговорные ,925,Переговорная ,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot.","
Вместимость 3 чел","Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,,
Бета,10,Переговорные ,1007,Коворкинг маркетинга,??,"Бронируй через календарь в Outlook
или в @CrocLiveBot.","ВКС, флипчарт, зоны отдыха и работы ","Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,"https://andreymashkin.ru/disk/share/AXnVWvs5BWW2G
https://andreymashkin.ru/disk/share/rg9eJlCk1ddvE
https://andreymashkin.ru/disk/share/Mnl0eZsX8eeWP
https://andreymashkin.ru/disk/share/KzBrRvuP9RR09
https://andreymashkin.ru/disk/share/D4WEXGSnYXXrW",
Бета,10,Переговорные ,1013,Переговорная ,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot.","
Вместимость 4 чел","Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,,
Бета,10,Переговорные ,1015,Переговорная ,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot.","
Вместимость 6 чел","Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,,
Бета,10,Переговорные ,1022,Переговорная ,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot.","
Вместимость 8 чел","Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,,
Бета,10,Переговорные ,1024,Переговорная ,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot.","
Вместимость 8 чел","Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,,
Бета,11,Сервис ,,Ресепшен,Да,Подробнее https://jive.croc.ru/community/knowledge/everyday/social/sekretariat/overview,,https://andreymashkin.ru/disk/share/qvzb04hoVQQzD,,,,
Бета,11,Переговорные ,1111,Переговорная ,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot.","ЖК-панель, магнитная доска, телефон 
Вместимость 6 чел","Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,,
Бета,11,Переговорные ,1113,Переговорная ,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot.","
Вместимость 4 чел","Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,,
Бета,11,Переговорные ,1117,Переговорная ,Да,"Бронируй через календарь в Outlook
или в @CrocLiveBot.","
Вместимость 5 чел","Во вопросам оборудования: HelpDesk@croc.ru

По вопросам организации встреч и канцелярии : Receptions_Group@croc.ru",,,,
